POLY_ID,Latitude,Longitude,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,CL
"79",40.617488000000002,-79.727664000000004,0.042393000000000,0.010949000000000,0.072000000000000,0.067000000000000,0.067000000000000,0.065000000000000,"2"
"80",40.814183000000000,-79.564750000000004,0.043689000000000,0.011213000000000,0.070000000000000,0.069000000000000,0.069000000000000,0.065000000000000,"2"
"81",40.562519999999999,-80.503947999999994,0.041762000000000,0.010233000000000,0.067000000000000,0.066000000000000,0.064000000000000,0.063000000000000,"2"
"82",40.684722000000001,-80.359722000000005,0.042271000000000,0.010268000000000,0.072000000000000,0.065000000000000,0.065000000000000,0.064000000000000,"2"
"83",40.747796000000001,-80.316441999999995,0.042318000000000,0.010899000000000,0.069000000000000,0.067000000000000,0.067000000000000,0.066000000000000,"2"
"84",40.514080000000000,-75.789721000000000,0.039865000000000,0.011134000000000,0.072000000000000,0.069000000000000,0.068000000000000,0.067000000000000,"5"
"85",40.383350000000000,-75.968599999999995,0.044883000000000,0.012442000000000,0.080000000000000,0.075000000000000,0.075000000000000,0.071000000000000,"1"
"86",40.535277999999998,-78.370833000000005,0.040236000000000,0.011131000000000,0.072000000000000,0.069000000000000,0.065000000000000,0.061000000000000,"2"
"87",41.705226000000003,-76.512726000000001,0.037534000000000,0.011283000000000,0.065000000000000,0.062000000000000,0.061000000000000,0.061000000000000,"6"
"88",40.107222000000000,-74.882221999999999,0.043588000000000,0.012985000000000,0.083000000000000,0.080000000000000,0.077000000000000,0.077000000000000,"1"
"89",40.309722000000001,-78.915000000000006,0.041583000000000,0.010319000000000,0.066000000000000,0.065000000000000,0.065000000000000,0.064000000000000,"2"
"90",40.811388999999998,-77.877027999999996,0.036491000000000,0.008172000000000,0.057000000000000,0.053000000000000,0.053000000000000,0.053000000000000,"6"
"91",40.720799999999997,-77.931899999999999,0.042000000000000,0.010539000000000,0.069000000000000,0.069000000000000,0.068000000000000,0.065000000000000,"2"
"92",39.834460999999997,-75.768242000000001,0.041535000000000,0.009877000000000,0.066000000000000,0.065000000000000,0.065000000000000,0.062000000000000,"1"
"93",41.117500000000000,-78.526194000000004,0.037348000000000,0.008553000000000,0.056000000000000,0.056000000000000,0.055000000000000,0.054000000000000,"6"
"94",40.246991999999999,-76.846987999999996,0.039097000000000,0.011070000000000,0.070000000000000,0.066000000000000,0.064000000000000,0.064000000000000,"2"
"95",40.272221999999999,-76.681388999999996,0.036290000000000,0.009201000000000,0.062000000000000,0.060000000000000,0.056000000000000,0.056000000000000,"6"
"96",39.835555999999997,-75.372500000000002,0.042547000000000,0.011114000000000,0.071000000000000,0.069000000000000,0.069000000000000,0.067000000000000,"1"
"97",41.598118999999997,-78.767866999999995,0.039916000000000,0.009521000000000,0.066000000000000,0.064000000000000,0.063000000000000,0.062000000000000,"2"
"98",42.141750000000002,-80.038611000000003,0.038512000000000,0.009118000000000,0.062000000000000,0.061000000000000,0.058000000000000,0.057000000000000,"2"
"99",39.917662999999997,-79.805498999999998,0.039474000000000,0.008838000000000,0.064000000000000,0.059000000000000,0.059000000000000,0.055000000000000,"2"
"100",39.961111000000002,-77.475555999999997,0.039969000000000,0.008878000000000,0.063000000000000,0.063000000000000,0.062000000000000,0.059000000000000,"2"
"101",39.809330000000003,-80.265670000000000,0.042530000000000,0.010792000000000,0.066000000000000,0.066000000000000,0.064000000000000,0.062000000000000,"9"
"102",40.563330000000001,-78.919972000000001,0.041746000000000,0.010635000000000,0.076000000000000,0.066000000000000,0.066000000000000,0.065000000000000,"2"
"103",41.479115999999998,-75.578186000000002,0.039568000000000,0.010113000000000,0.066000000000000,0.063000000000000,0.062000000000000,0.062000000000000,"5"
"104",41.442777999999997,-75.623056000000005,0.036004000000000,0.009492000000000,0.061000000000000,0.059000000000000,0.054000000000000,0.054000000000000,"6"
"105",40.046666999999999,-76.283332999999999,0.043104000000000,0.010301000000000,0.067000000000000,0.067000000000000,0.067000000000000,0.065000000000000,"2"
"106",40.043832999999999,-76.112399999999994,0.040124000000000,0.011215000000000,0.068000000000000,0.068000000000000,0.066000000000000,0.065000000000000,"5"
"107",40.995848000000002,-80.346441999999996,0.037954000000000,0.010292000000000,0.066000000000000,0.063000000000000,0.062000000000000,0.061000000000000,"2"
"108",40.338515999999998,-76.394788000000005,0.040339000000000,0.011011000000000,0.073000000000000,0.067000000000000,0.066000000000000,0.066000000000000,"5"
"109",40.611944000000001,-75.432500000000005,0.038559000000000,0.010910000000000,0.065000000000000,0.064000000000000,0.063000000000000,0.063000000000000,"5"
"110",41.265555999999997,-75.846389000000002,0.040572000000000,0.009757000000000,0.067000000000000,0.067000000000000,0.063000000000000,0.062000000000000,"5"
"111",41.250799999999998,-76.923800000000000,0.038048000000000,0.009509000000000,0.063000000000000,0.061000000000000,0.060000000000000,0.059000000000000,"6"
"112",41.215013999999996,-80.484779000000003,0.041826000000000,0.010441000000000,0.067000000000000,0.066000000000000,0.063000000000000,0.063000000000000,"2"
"113",41.427100000000003,-80.145099999999999,0.041764000000000,0.010463000000000,0.069000000000000,0.066000000000000,0.065000000000000,0.064000000000000,"2"
"114",41.083060000000003,-75.323279999999997,0.040876000000000,0.009798000000000,0.065000000000000,0.065000000000000,0.063000000000000,0.062000000000000,"5"
"115",40.112222000000003,-75.309167000000002,0.043558000000000,0.011546000000000,0.074000000000000,0.073000000000000,0.072000000000000,0.071000000000000,"1"
"116",40.628056000000001,-75.341110999999998,0.043068000000000,0.011782000000000,0.073000000000000,0.072000000000000,0.071000000000000,0.069000000000000,"1"
"117",40.008889000000003,-75.097780000000000,0.039395000000000,0.012385000000000,0.076000000000000,0.074000000000000,0.069000000000000,0.068000000000000,"4"
"118",40.076388999999999,-75.011944000000000,0.044088000000000,0.012319000000000,0.086000000000000,0.078000000000000,0.074000000000000,0.072000000000000,"1"
"119",39.991388999999998,-75.080832999999998,0.037143000000000,0.013877000000000,0.077000000000000,0.076000000000000,0.073000000000000,0.073000000000000,"4"
"120",39.987800000000000,-79.251499999999993,0.040290000000000,0.010023000000000,0.067000000000000,0.064000000000000,0.062000000000000,0.062000000000000,"2"
"121",41.644722000000002,-76.939166999999998,0.039052000000000,0.009580000000000,0.065000000000000,0.063000000000000,0.063000000000000,0.061000000000000,"5"
"122",40.146667000000001,-79.902221999999995,0.043281000000000,0.010963000000000,0.067000000000000,0.067000000000000,0.066000000000000,0.065000000000000,"9"
"123",40.445278000000002,-80.420833000000002,0.037079000000000,0.008450000000000,0.060000000000000,0.057000000000000,0.055000000000000,0.055000000000000,"2"
"124",40.268962999999999,-80.243994999999998,0.042628000000000,0.011427000000000,0.069000000000000,0.067000000000000,0.066000000000000,0.064000000000000,"9"
"125",40.304693999999998,-79.505667000000003,0.031485000000000,0.008090000000000,0.051000000000000,0.051000000000000,0.049000000000000,0.048000000000000,"10"
"126",39.965277999999998,-76.699444000000000,0.040418000000000,0.010601000000000,0.069000000000000,0.068000000000000,0.066000000000000,0.064000000000000,"2"
"127",39.860970000000002,-76.462055000000007,0.041934000000000,0.009984000000000,0.066000000000000,0.066000000000000,0.065000000000000,0.064000000000000,"2"
